Entry ID,Jurisdiction ,Date announced,Date implemented,Intervention category,Intervention type,Intervention summary,"Primary source
(news release or specific resource)",Secondary source,Level,"Indigenous 
population group"
BC167,B.C.,2020-06-24,2020-06-24,Public information,Public information — phase and alert level changes,"Who: Government of British Columbia
What: All regions in province entered Phase 3 of the ""BC Restart Plan.""
Effective until:",https://news.gov.bc.ca/releases/2020PREM0033-001159,https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/phase-3,Provincial/territorial,No
BC168,B.C.,2020-06-24,2020-06-24,State of emergency,State of emergency,"Who: Government of British Columbia
What: Extended the provincial state of emergency
Effective until: 2020-07-06",https://news.gov.bc.ca/releases/2020PREM0033-001159,Not applicable,Provincial/territorial,No
BC169,B.C.,2020-06-25,2020-06-25,Case management,Case management — other,"Who: Government of British Columbia
What: All seasonal fruit pickers required to take a new online COVID-19 awareness course; includes information on physical distancing, hygiene and cleaning, work pods, transportation, tools and equipment, safeguarding community and First Nations health and monitoring employee health
Effective until: ",https://news.gov.bc.ca/releases/2020AGRI0025-001169,Not applicable,Provincial/territorial,Yes
BC173,B.C.,2020-06-30,2020-06-30,Health services,Health services — visitors,"Who: Government of British Columbia
What: Updated visitation guidelines in long-term care and seniors’ assisted living residences to allow visits from a single designated visitor in a specific visiting area
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0211-001207,Not applicable,Provincial/territorial,No
BC174,B.C.,2020-07-07,2020-07-07,State of emergency,State of emergency,"Who: Government of British Columbia
What: Extended the provincial state of emergency
Effective until: 2020-07-20",https://news.gov.bc.ca/releases/2020EMBC0036-001236,Not applicable,Provincial/territorial,No
BC175,B.C.,2020-07-22,2020-07-22,Openings,Openings — non-essential services,"Who: Government of British Columbia
What: Amended conditions to ensure that all restaurant and bar patrons are seated at a designated seat; no liquor self-service or dancing; measures need to be in place to reduce lineups and gathering outside 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0231-001356,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-nightclubs-food-drink.pdf,Provincial/territorial,No
BC176,B.C.,2020-07-27,2020-07-27,Distancing,Distancing — gatherings,"Who: Government of British Columbia
What: Amended order on mass gatherings to limit the number of people in vacation accommodations (including for house, cabin, yurt and boat rentals, as well as hotel rooms) to the capacity of the space, plus up to a maximum of 5 visitors
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0040-001394,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-gatherings-events.pdf,Provincial/territorial,No
BC177,B.C.,2020-07-29,2020-07-29,Openings,Openings — education,"Who: Ministry of Education
What: Released plan and safety guidance, entitled ""B.C.'s Back to School Plan,"" for reopening elementary, middle and high schools in the fall
Effective until: ",https://news.gov.bc.ca/releases/2020EDUC0040-001415,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school,Provincial/territorial,No
BC178,B.C.,2020-08-04,2020-08-04,State of emergency,State of emergency,"Who: Government of British Columbia
What: Extended the provincial state of emergency
Effective until: 2020-08-17",https://news.gov.bc.ca/releases/2020EMBC0042-001456,Not applicable,Provincial/territorial,No
BC179,B.C.,2020-06-24,No data,Distancing,Distancing — gatherings,"Who: Government of British Columbia
What: Permitted the careful expansion of household bubbles to include some others; recommended that gatherings with persons outside of households be limited to small groups of 2 to 6 people with distancing 
Effective until: ",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/phase-3,Not applicable,Provincial/territorial,No
BC180,B.C.,2020-08-07,2020-08-07,Distancing,Distancing — gatherings,"Who: Government of British Columbia
What: Amended order on gatherings and events to limit public gatherings for the purposes of an event larger than 50 people
Effective until: ",http://www.bccdc.ca/health-info/diseases-conditions/covid-19/event-planning,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-gatherings-events.pdf,Provincial/territorial,No
BC181,B.C.,2020-05-19,No data,Distancing,Distancing — gatherings,"Who: Government of British Columbia
What: Recommended maintaining small and consistent social bubbles
Effective until: ",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/phase-2,https://cfjctoday.com/2020/05/23/b-c-health-officials-remind-residents-to-limit-gatherings-with-10-new-covid-19-cases-reported/,Provincial/territorial,No
BC182,B.C.,2020-06-30,2020-06-30,Case management,Case management — other,"Who: Government of British Columbia
What: Providing more than $160 million for facilities to hire up to 3 full-time equivalent staff in each of B.C.’s 680 long-term care homes and seniors’ assisted living residences, including both public and private facilities, to ensure infection prevention and control measures for COVID-19 are followed to support safe visitation 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0211-001207,Not applicable,Provincial/territorial,No
BC183,B.C.,2020-06-23,2020-06-23,Public information,Public information — projections,"Who: Government of British Columbia
What: Updated projections for cases
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0203-001152,https://news.gov.bc.ca/files/2020-06-23-Modelling-Technical-Briefing.pdf,Provincial/territorial,No
BC184,B.C.,2020-07-20,2020-07-20,Public information,Public information — projections,"Who: Government of British Columbia
What: Updated projections for cases
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0038-001335,https://news.gov.bc.ca/files/Covid19-Modelling_Update.pdf,Provincial/territorial,No
BC185,B.C.,2020-07-21,2020-07-21,Health services,Health services — resumed medical procedures,"Who: Government of British Columbia
What: Released first public update report on the Surgical Renewal Commitment, which reports on progress on increasing the number of surgeries performed beyond pre-COVID-19 levels in the period between May 18, 2020, and June 25, 2020
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0228-001337,https://news.gov.bc.ca/files/21-07-2020_Commitment_Surgical_Renewal_BC.pdf,Provincial/territorial,No
BC187,B.C.,2020-07-03,2020-07-03,Health services,Health services — telemedicine/virtual care,"Who: College of Occupational Therapists of British Columbia 
What: Updated practice guidance for telehealth for occupational therapists
Effective until:",https://cotbc.org/wp-content/uploads/COVID-19-Practice-Guidance-Telehealth-in-Occupational-Therapy-Practice-July-3-2020-Update_FINAL.pdf,https://cotbc.org/covid19/,Provincial/territorial,No
BC188,B.C.,2020-07-08,2020-07-08,Health workforce,Health workforce — safety guidelines,"Who: College of Occupational Therapists of British Columbia 
What: Issued practice guidance for occupational therapists prior to client interactions; resource for point of care risk assessment must be completed before each client interaction 
Effective until:",https://cotbc.org/covid19/,https://cotbc.org/wp-content/uploads/COTBC-COVID-19-Practice-Guidance-PCRA-Resource-for-OTs-July-2020.pdf,Provincial/territorial,No
BC189,B.C.,2020-07-24,2020-07-24,Health workforce,Health workforce — change in practice,"Who: College of Physicians and Surgeons of British Columbia
What: Physicians can now conduct a capacity assessment in person or by video-enabled telemedicine for medical assistance in dying                                           
Effective until:",https://www.cpsbc.ca/files/pdf/PSG-Medical-Assistance-in-Dying.pdf,https://www.cpsbc.ca/news/COVID-19-updates,Provincial/territorial,No
BC190,B.C.,2020-06-17,2020-06-17,Health workforce,Health workforce — safety guidelines,"Who: College of Physical Therapists of British Columbia 
What: Released point of care risk assessment guide for physiotherapists to assess COVID-19 risk and mitigation strategies while providing services
Effective until:",https://cptbc.org/wp-content/uploads/2020/06/CPTBC-POCRA_June17_9am_Interactive.pdf,Not applicable,Provincial/territorial,No
BC191,B.C.,2020-07-21,2020-07-21,State of emergency,State of emergency,"Who: Government of British Columbia
What: Extended the provincial state of emergency
Effective until: 2020-08-03",https://news.gov.bc.ca/releases/2020PSSG0038-001339,Not applicable,Provincial/territorial,No
CAN001,Can.,2020-03-12,2020-03-12,Distancing,Distancing — gatherings,"Who: Métis National Council, President Clément Chartier
What: Suspending all General Assembly meetings until further notice, in light of the pandemic
Effective until:",https://www.metisnation.ca/index.php/news/press-release-metis-nation-taking-proactive-measures-on-covid-19-virus,https://www.metisnation.ca/index.php/news/mnc-press-release-covid-19-crisis-forces-postponement-of-metis-national-council-general-assembly,Federal,Yes
CAN003,Can.,2020-03-30,2020-03-30,Distancing,Distancing — other,"Who: Government of the Northwest Territories, Indigenous Services Canada
What: Agreement reached to provide $2.6 million in federal funding to help Indigenous families who are choosing to be on the land as part of the territory’s response to COVID-19
Effective until: ",https://www.canada.ca/en/indigenous-services-canada/news/2020/03/indigenous-territorial-and-federal-leaders-mobilize-funding-to-support-unique-northern-physical-distancing-initiative.html,Not applicable,Federal,Yes
CAN004,Can.,2020-03-28,2020-03-30,Travel,Travel — restrictions,"Who: Transport Canada
What: Introducing new domestic transportation measures to support provincial, territorial and local efforts to mitigate the risk of COVID-19 spreading from travelling within Canada
Effective until:",https://www.canada.ca/en/transport-canada/news/2020/03/government-of-canada-announces-new-domestic-transportation-measures.html,Not applicable,Federal,No
CAN006,Can.,2020-04-07,2020-04-07,Public information,Public information — masks,"Who: Public Health Agency of Canada
What: Released statement on the use and efficacy of non-medical masks (e.g., homemade cloth mask) for protection and to minimize the transmission of droplets in the community 
Effective until:",https://www.canada.ca/en/public-health/news/2020/04/ccmoh-communication-use-of-non-medical-masks-or-facial-coverings-by-the-public.html,Not applicable,Federal,No
CAN008,Can.,2020-04-09,2020-04-09,Public information,Public information — projections,"Who: Public Health Agency of Canada
What: Released projections for cases and critical care capacity
Effective until:",https://www.canada.ca/content/dam/phac-aspc/documents/services/diseases/2019-novel-coronavirus-infection/using-data-modelling-inform-eng.pdf,Not applicable,Federal,No
CAN009,Can.,2020-04-09,2020-04-09,Public information,Public information — projections,"Who: Public Health Agency of Canada
What: Released national-level modelling on the COVID-19 epidemic in Canada, which attempts to show how the epidemic might unfold over the coming months based on knowledge of how the virus behaves and the potential impact of public health measures
Effective until:",https://www.canada.ca/en/public-health/news/2020/04/statement-from-the-chief-public-health-officer-of-canada-on-the-release-of-national-modelling-on-the-covid-19-epidemic-in-canada.html,Not applicable,Federal,No
CAN010,Can.,2020-04-11,2020-04-11,Financial and economic,Financial and economic — assistance,"Who: Department of Finance Canada
What: Introduced a COVID-19 Emergency Response Act, No. 2, which proposes amendments to the Canada Emergency Wage Subsidy to provide effective support to those eligible employers that are hardest hit by the COVID-19 pandemic
Effective until:
",https://www.canada.ca/en/department-finance/news/2020/04/government-introduces-covid-19-emergency-response-act-no-2-to-help-businesses-keep-canadians-in-their-jobs.html,https://www.canada.ca/en/department-finance/news/2020/04/covid-19-emergency-response-act-no-2-receives-royal-assent-to-help-businesses-keep-canadians-in-their-jobs.html,Federal,No
CAN011,Can.,2020-04-13,2020-04-13,Case management,Case management — other,"Who: Public Health Agency of Canada
What: Released interim guidance for infection prevention and control of COVID-19 for long-term care homes
Effective until:",https://www.canada.ca/en/public-health/news/2020/04/public-health-agency-of-canada-releases-interim-guidance-for-infection-prevention-and-control-of-covid-19-for-long-term-care-homes.html,Not applicable,Federal,No
CAN012,Can.,2020-04-14,2020-04-14,Case management,Case management — other,"Who: Department of Justice Canada
What: Regulatory amendments under the Contraventions Act to provide increased flexibility for law enforcement agencies, including the Royal Canadian Mounted Police and local and provincial police forces, to issue tickets to individuals who do not comply with orders under the federal Quarantine Act
Effective until:",https://www.canada.ca/en/department-justice/news/2020/04/government-of-canada-further-facilitates-enforcement-of-the-federal-quarantine-act.html,Not applicable,Federal,No
CAN014,Can.,2020-04-14,2020-04-15,Travel,Travel — self-isolation,"Who: Prime Minister
What: Imposed tougher quarantine measures for returning travellers. As of midnight 2020-04-15 anyone who is asymptomatic and returning to Canada from abroad has to have a credible quarantine plan or they will be forced to spend 14 days in isolation in a quarantine location. This is an update to the current policy under the Quarantine Act, which came into effect on 2020-03-24, which made it mandatory for those arriving in Canada from abroad to self-isolate for 14 days, with public health officials and the RCMP following up. 
Effective until:",https://www.canada.ca/en/public-health/news/2020/04/government-of-canada-updates-mandatory-requirements-for-travellers-entering-canada.html,https://www.ctvnews.ca/health/coronavirus/canada-u-s-border-likely-to-remain-closed-for-weeks-pm-says-in-imposing-tougher-quarantine-rules-1.4895280,Federal,No
CAN016,Can.,2020-04-15,2020-04-15,Closures,Closures — recreation,"Who: Parks Canada
What: Suspended camping, group activities and events at all national parks, national historic sites, heritage canals and national marine conservation areas
Effective until: 2020-06-21",https://www.canada.ca/en/parks-canada/news/2020/04/to-help-limit-the-spread-of-covid-19-parks-canada-suspends-camping-group-activities-and-events-across-the-country-until-at-least-may-31-2020.html,https://www.canada.ca/en/parks-canada/news/2020/05/starting-june-1-2020-parks-canada-and-environment-and-climate-change-canada-will-gradually-resume-some-operations-at-selected-national-parks-nation.html,Federal,No
CAN017,Can.,2020-04-15,2020-04-15,Financial and economic,Financial and economic — assistance,"Who: Prime Minister
What: Announced that individuals can earn up to $1,000 per month while collecting the Canada Emergency Response Benefit (CERB), which has been extended to seasonal workers who have exhausted their employment insurance regular benefits and are unable to find a job or return to work because of COVID-19
Effective until:
",https://www.canada.ca/en/department-finance/news/2020/04/minister-fortier-highlights-government-support-for-franco-ontarians-and-their-businesses-in-onfr-news-digital-town-hall.html,Not applicable,Federal,No
CAN018,Can.,2020-04-16,2020-04-16,Public information,Public information — launch of web page/resource,"Who: Canadian Centre for Occupational Health and Safety
What: Developed and published a series of pandemic guidance tip sheets to help high-risk occupations and essential services and industries work safely during the COVID-19 pandemic
Effective until:",https://www.canada.ca/en/centre-occupational-health-safety/news/2020/04/covid-19-guidance-for-high-risk-and-essential-workplaces.html,Not applicable,Federal,No
CAN019,Can.,2020-04-16,2020-04-16,Distancing,Distancing — gatherings,"Who: Government of Canada, Minister of Indigenous Services
What: Recommend that First Nations with upcoming elections not proceed with elections at this time, due to the current public health risks associated with large gatherings. A temporary regulatory option was introduced, the First Nations Election Cancellation and Postponement Regulations, which will allow First Nations leaders to continue exercising their roles and duties within their communities for up to 6 months, with a potential extension for an additional 6 months, as they focus on keeping their communities safe in the face of COVID-19.
Effective until: 2020-10-16",https://www.canada.ca/en/indigenous-services-canada/news/2020/04/statement-by-the-minister-of-indigenous-services-on-the-first-nations-election-cancellation-and-postponement-regulations-prevention-of-diseases-com.html,Not applicable,Federal,Yes
CAN020,Can.,2020-04-17,2020-04-17,Public information,Public information — masks,"Who: Transport Canada
What: Announced new measures requiring all air and VIA Rail passengers to have a removable, non-medical mask or face covering to cover their mouth and nose during travel. Non-medical masks or face coverings should fit snugly but comfortably against the side of your face, be secured with ties or ear loops and cover the mouth and nose. It should be easy to put on and take off when necessary (e.g., identity verification check). 
Effective until:",https://www.canada.ca/en/transport-canada/news/2020/04/new-measures-introduced-for-non-medical-masks-or-face-coverings-in-the-canadian-transportation-system.html,https://www.canada.ca/en/transport-canada/news/2020/04/use-of-non-medical-masks-or-face-coverings-in-the-canadian-transportation-system.html,Federal,No
CAN021,Can.,2020-01-29,2020-01-29,Travel,Travel — restrictions,"Who: Government of Canada
What: Warns against non-essential travel to China and all travel to the province of Hubei
Effective until:",https://web.archive.org/web/20200129230152/https://travel.gc.ca/destinations/china,Not applicable,Federal,No
CAN022,Can.,2020-02-29,2020-02-29,Travel,Travel — restrictions,"Who: Government of Canada
What: Warns against all travel to the cities of Daegu and Cheongdo due to the particularly high risk of COVID-19
Effective until:",https://web.archive.org/web/20200301124549/https://travel.gc.ca/destinations/south-korea,Not applicable,Federal,No
CAN023,Can.,2020-03-02,2020-03-02,Travel,Travel — restrictions,"Who: Government of Canada
What: Warns against non-essential travel to the northern regions of Aosta Valley, Piedmont, Liguria, Lombardy, Emilia-Romagna, Veneto, Friuli-Venezia Giulia and Trentino-Alto Adige due to the spread of COVID-19 
Effective until:",https://web.archive.org/web/20200302185901/https://travel.gc.ca/destinations/italy,Not applicable,Federal,No
CAN024,Can.,2020-03-06,2020-03-06,Travel,Travel — restrictions,"Who: Government of Canada
What: Warns against all travel to Iran due to restrictions imposed following the spread of COVID-19 
Effective until:",https://web.archive.org/web/20200306180223/https://travel.gc.ca/destinations/iran,Not applicable,Federal,No
CAN025,Can.,2020-03-09,2020-03-09,Travel,Travel — restrictions,"Who: Government of Canada
What: Warns against all cruise ship travel due to spread of COVID-19
Effective until:",https://web.archive.org/web/20200309171141/https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/latest-travel-health-advice.html,Not applicable,Federal,No
CAN026,Can.,2020-03-10,2020-03-10,Distancing,Distancing — work from home,"Who: Government of Canada
What: Encouraged workplaces to adjust policies to reduce social contact, such as flexible hours, staggering start times, teleworking arrangements, using email and teleconferencing 
Effective until:",https://web.archive.org/web/20200310220316/https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/being-prepared.html,Not applicable,Federal,No
CAN027,Can.,2020-03-13,2020-03-13,Travel,Travel — restrictions,"Who: Government of Canada
What: Defer the start of the cruise ship season in Canada, which will apply to cruise ships capable of carrying more than 500 passengers and crew members, with the exception of vessels with Canadian Arctic stops, which will be deferred for the entire season this year
Effective until: 2020-07-01",https://www.canada.ca/en/transport-canada/news/2020/03/government-of-canada-announces-intention-to-defer-the-start-of-cruise-ship-season-in-canada-as-covid-19-response-measure.html,Not applicable,Federal,No
CAN028,Can.,2020-03-14,2020-03-14,Travel,Travel — restrictions,"Who: Government of Canada
What: Warns against all non-essential travel outside Canada given that the COVID-19 outbreak was declared a global issue on 2020-03-12 
Effective until:",https://travel.gc.ca/travelling/health-safety/travel-health-notices/221?_ga=2.136799602.370261615.1585766573-1117906777.1582744352,Not applicable,Federal,No
CAN029,Can.,2020-04-08,2020-03-15,Financial and economic,Financial and economic — assistance,"Who: Department of Finance Canada
What: Provided further flexibility for employers to access the Canada Emergency Wage Subsidy (CEWS), which will apply at a rate of 75% of the first $58,700 normally earned by employees
Effective until: 2020-08-29",https://www.canada.ca/en/department-finance/news/2020/04/government-provides-further-flexibility-for-employers-to-access-the-canada-emergency-wage-subsidy.html,https://www.canada.ca/en/department-finance/news/2020/05/government-extends-the-canada-emergency-wage-subsidy.html,Federal,No
CAN030,Can.,2020-03-16,2020-03-16,Financial and economic,Financial and economic — assistance,"Who: Government of Canada
What: Creating a special financial assistance program, the COVID-19 Emergency Loan Program for Canadians Abroad, which will allow Canadians abroad to apply for an emergency loan of up to $5,000 to help secure their timely return to Canada and to temporarily cover their life-sustaining needs while they work toward their return 
Effective until:",https://www.canada.ca/en/global-affairs/news/2020/03/government-of-canada-to-provide-financial-assistance-to-canadians-abroad.html,Not applicable,Federal,No
CAN031,Can.,2020-03-17,2020-03-18,Travel,Travel — restrictions,"Who: Government of Canada
What: Ban foreign nationals from all countries except the United States from entering Canada, with exceptions for air crews, travellers arriving in Canada in transit to a third country, Canadian permanent residents, diplomats or immediate family members of Canadian citizens (earliest publication date tracked using Wayback Machine)
Effective until:",https://web.archive.org/web/20200319161754/https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/canadas-reponse.html,Not applicable,Federal,No
CAN032,Can.,2020-03-18,2020-03-18,Health services,Health services — equipment,"Who: Health Canada
What: Announced expediting of access to products that may not fully meet current regulatory requirements, as an interim measure to prevent the spread of COVID-19. Products include hand sanitizers, disinfectants, personal protective equipment (such as masks and gowns) and swabs.
Effective until:",https://healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2020/72623a-eng.php,Not applicable,Federal,No
CAN033,Can.,2020-03-18,2020-03-18,Health services,Health services — equipment,"Who: Health Canada
What: Signed an interim order to allow expedited access to COVID-19-related medical devices for use by health care providers, including diagnostic test kits
Effective until: 2020-04-01",https://www.canada.ca/en/health-canada/news/2020/03/health-canada-expedites-access-to-covid-19-diagnostic-laboratory-test-kits-and-other-medical-devices.html,Not applicable,Federal,No
CAN034,Can.,2020-03-17,2020-03-19,Closures,Closures — recreation,"Who: Parks Canada
What: Temporarily suspending all visitor services in all national parks, national historic sites and national marine conservation areas across the country
Effective until:",https://www.canada.ca/en/parks-canada/news/2020/03/parks-canada-temporarily-suspends-all-visitor-services-across-the-country-until-further-notice.html,https://www.cbc.ca/news/canada/calgary/parks-canada-closures-covid-19-1.5500817,Federal,No
CAN035,Can.,No data,2020-03-19,Travel,Travel — restrictions,"Who: Service Canada
What: Suspension of passport services except for those with urgent travel needs — e.g., those who have a serious illness, or must tend to the serious illness or death of another individual they have had a relationship with; suffer from economic hardships due to loss of job or business (the cost of an airline, bus or train ticket does not constitute economic hardship); or must travel for humanitarian grounds, supported by the requesting organization 
Effective until:",https://web.archive.org/web/20200319201755/https://www.canada.ca/en/employment-social-development/corporate/notices/coronavirus.html,Not applicable,Federal,No
CAN036,Can.,No data,2020-03-21,Case management,Case management — online assessment,"Who: Public Health Agency of Canada
What: Launched a self-assessment online tool
Effective until:",https://ca.thrive.health/covid19/en,https://www.ctvnews.ca/health/coronavirus/worried-you-might-have-covid-19-try-the-government-s-new-online-self-assessment-1.4863421,Federal,No
CAN037,Can.,No data,2020-03-21,Case management,Case management — test criteria,"Who: Public Health Agency of Canada
What: Online self-assessment tool suggests that tests should be provided for those with respiratory symptoms who are hospitalized, or likely to be hospitalized; health care workers; residents of long-term care facilities; part of an investigation of a cluster or outbreak. 
Effective until:",https://ca.thrive.health/covid19/en,Not applicable,Federal,No
CAN038,Can.,2020-03-24,2020-03-23,State of emergency,State of emergency,"Who: Assembly of First Nations executive committee
What: Declared state of emergency; emphasized that First Nations leadership must “be fully and meaningfully involved at all decision-making tables in the development of all plans, legislation, policies, budget allocations and regulations regarding the COVID-19 pandemic federally and provincially” 
Effective until:",https://www.afn.ca/nc-bulletin-executive-motion-on-covid-19-state-of-emergency/ ,https://globalnews.ca/news/6727971/assembly-first-nations-state-of-emergency-covid-19-coronavirus/,Federal,Yes
CAN039,Can.,2020-03-24,2020-03-25,Closures,Closures — recreation,"Who: Parks Canada
What: Temporarily suspending all motor vehicle access by visitors at all national parks, national historic sites and national marine conservation areas 
Effective until:",https://www.pc.gc.ca/en/voyage-travel/securite-safety/covid-19-info,Not applicable,Federal,No
CAN043,Can.,2020-03-25,2020-03-25,Travel,Travel — self-isolation,"Who: Public Health Agency of Canada 
What: Announced an emergency order under the Quarantine Act that requires any person entering Canada by air, sea or land to self-isolate for 14 days whether or not they have symptoms of COVID-19 
Effective until:",https://www.canada.ca/en/public-health/news/2020/03/new-order-makes-self-isolation-mandatory-for-individuals-entering-canada.html,Not applicable,Federal,No
CAN044,Can.,2020-03-26,2020-03-26,Public information,Public information — masks,"Who: Health Canada
What: Provided guidance to the public and health care professionals to use caution when considering the use of homemade masks to protect against the transmission of COVID-19 
Effective until:",https://web.archive.org/web/20200328013854/https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices/activities/announcements/covid19-notice-home-made-masks.html,Not applicable,Federal,No
CAN045,Can.,2020-03-25,2020-03-24,Travel,Travel — self-isolation,"Who: Government of Canada
What: Passed an emergency order as part of the Quarantine Act requiring all travellers entering Canada from outside Canada to self-isolate for 14 days 
Effective until:
",https://www.canada.ca/en/public-health/news/2020/03/new-order-makes-self-isolation-mandatory-for-individuals-entering-canada.html,Not applicable,Federal,No
CAN047,Can.,2020-03-28,2020-03-28,Health workforce,Health workforce — safety guidelines,"Who: Health Canada
What: Provided guidance to health care professionals on how to optimize the use of masks and respirators during the COVID-19 outbreak
Effective until:",https://web.archive.org/web/20200329042911/https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices/masks-respirators-covid19.html,Not applicable,Federal,No
CAN048,Can.,2020-03-30,2020-03-30,Health services,Health services — equipment,"Who: Health Canada
What: Requested the public not to stockpile medications, to help ensure that all Canadians continue to have access to the medications they need and to help prevent drug shortages
Effective until:",https://healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2020/72661a-eng.php#,Not applicable,Federal,No
CAN050,Can.,2020-03-31,2020-03-31,Health services,Health services — equipment,"Who: Government of Canada
What: Announced new measures to increase Canada’s availability of health care equipment: 1) investing $2 billion to support diagnostic testing and to purchase ventilators and protective personal equipment, including for bulk purchases with provinces and territories; 2) signed new procurement agreements with 3 Canadian companies to purchase and boost capacity to manufacture equipment and supplies including portable ventilators, surgical masks and rapid testing kits; 3) signed letters of intent with 5 companies to produce additional test kits, hand sanitizer and protective apparel including masks and gowns; 4) made $50 million available in funding for members of the Next Generation Manufacturing Supercluster to develop and scale up new, in-demand technologies, equipment and medical products 
Effective until:
",https://pm.gc.ca/en/news/news-releases/2020/03/31/prime-minister-announces-new-partnerships-canadian-industries-fight,Not applicable,Federal,No
CAN051,Can.,2020-04-05,2020-04-01,Health services,Health services — equipment,"Who: Government of Canada 
What: Shipped 275 orders for personal protective equipment including hand sanitizer, N95 masks, isolation shields and gloves to Indigenous communities. It did not specify how many communities received the shipments. 
Effective until:",https://www.sac-isc.gc.ca/eng/1584819394157/1584819418553#b,https://aptnnews.ca/2020/04/02/covid-19-lands-in-several-indigenous-communities-in-quebec/,Federal,Yes
CAN052,Can.,2020-04-02,2020-04-02,Closures,Closures — non-essential services,"Who: Public Safety Canada
What: Released a guidance document to assist various jurisdictions and businesses in their decision-making around the types of employees considered essential across Canada’s 10 critical infrastructure sectors: energy and utilities, information and communication technologies, finance, health, food, water, transportation, safety, government and manufacturing
Effective until:",https://www.canada.ca/en/public-safety-canada/news/2020/04/government-of-canada-provides-guidance-on-services-and-functions-deemed-essential-to-canadas-critical-infrastructure-during-covid-19.html,Not applicable,Federal,No
CAN053,Can.,2020-04-03,2020-04-03,Health services,Health services — equipment,"Who: Public Services and Procurement Canada
What: Announced it has entered into an agreement with Amazon Canada to help manage the distribution of personal protective equipment and supplies, purchased by the government, to support the COVID-19 response. Amazon will use its Canadian distribution network, including delivery partners Canada Post and Purolator, to deliver these supplies to provincial health authorities, hospitals and other government agencies across the country. 
Effective until:",https://www.canada.ca/en/public-services-procurement/news/2020/04/government-of-canada-partners-with-amazon-to-help-get-personal-protective-equipment-to-frontline-healthcare-workers.html,Not applicable,Federal,No
CAN054,Can.,2020-04-06,2020-04-03,Health workforce,Health workforce — supply management,"Who: Prime Minister, Government of Canada, Canadian Armed Forces 
What: Announced the Canadian Rangers, who are a part of the Canadian Armed Forces reserves, will be deploying to Inuit communities of northern Quebec to assist with the public health response to COVID-19
Effective until:",https://www.canada.ca/en/department-national-defence/news/2020/04/deployment-of-canadian-rangers-to-nunavik.html,https://nationalpost.com/pmn/news-pmn/canada-news-pmn/scenarios-for-indigenous-covid-19-response-include-calling-in-the-army-miller,Federal,Yes
CAN056,Can.,2020-03-25,2020-04-06,Financial and economic,Financial and economic — assistance,"Who: Government of Canada
What: Introduced a Canada Emergency Response Benefit (CERB) providing a taxable benefit of $2,000 a month for up to 4 months to support workers who lose their income as of result of the COVID-19 pandemic
Effective until:",https://www.canada.ca/en/department-finance/news/2020/03/the-covid-19-emergency-response-act-receives-royal-assent0.html,https://www.canada.ca/en/employment-social-development/news/2020/04/canada-emergency-response-benefit-to-launch-on-april-6.html,Federal,No
CAN057,Can.,2020-04-05,2020-04-06,Travel,Travel — restrictions,"Who: Transport Canada
What: Announced new measures to reduce the risk of COVID-19 transmission on commercial passenger vessels and ferries, which include prohibiting all commercial marine vessels with a capacity of more than 12 passengers from engaging in non-essential activities; preventing any Canadian cruise ship from mooring, navigating or transiting in Canadian Arctic waters; requiring ferries and essential passenger vessel operators to immediately reduce by 50% the maximum number of passengers that may be carried on board and implement public health measures consistent with those of the Public Health Agency of Canada 
Effective until:",https://www.canada.ca/en/transport-canada/news/2020/04/the-government-of-canada-announces-new-measures-for-ferries-and-commercial-passenger-vessels-capable-of-carrying-more-than-12-passengers.html,Not applicable,Federal,No
